,위도,경도,문화생활,판매시설,음식점,임대면적,보증금,임대료,문화생활_sc,판매시설_sc,음식점_sc,건강_sc,카페_sc,편의시설_sc,반려동물_sc,대중교통_sc,의료시설_sc,공공기관_sc,오락시설_sc,주소,법정동,URL_NUM
22,37.570657,126.979775,442,34,665,251,5000,400,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2203017882
23,37.570657,126.979775,442,34,665,251,5000,400,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2202158807
24,37.575719,126.985808,555,21,496,72,1000,90,1.0,0.1721311475409836,0.5574324324324323,0.20689655172413793,0.8551068883610452,0.26666666666666666,0.19186046511627908,0.2647058823529412,0.15430861723446893,0.3,0.22033898305084745,서울 종로구 경운동 89-4,경운동,2202744898
25,37.568709,126.971731,111,8,150,194,10000,400,0.19419237749546278,0.06557377049180328,0.1677927927927928,0.5517241379310345,0.34679334916864607,0.26666666666666666,0.36627906976744184,0.1764705882352941,0.6873747494989979,0.16666666666666666,0.06779661016949153,서울 종로구 신문로2가 171,신문로2가,2202999264
26,37.606254,126.959572,30,2,59,68,7000,80,0.04718693284936479,0.01639344262295082,0.06531531531531531,0.034482758620689655,0.030878859857482184,0.2,0.01744186046511628,0.0,0.028056112224448898,0.03333333333333333,0.05084745762711865,서울 종로구 구기동 22-1,구기동,2202161101
27,37.581071,127.014549,60,8,26,72,18000,60,0.10163339382940109,0.06557377049180328,0.028153153153153154,0.32758620689655177,0.052256532066508314,0.26666666666666666,0.47674418604651164,0.14705882352941177,0.1663326653306613,0.6,0.01694915254237288,서울 종로구 창신동 702,창신동,2203242067
28,37.58412,126.996508,270,16,274,24,1000,50,0.4827586206896552,0.13114754098360656,0.30743243243243246,0.15517241379310345,0.4014251781472684,0.2,0.20348837209302326,0.058823529411764705,0.060120240480961915,0.26666666666666666,0.4915254237288136,서울 종로구 명륜3가 85-11,명륜3가,2203250423
29,37.578432,127.016378,79,15,53,20,400,36,0.13611615245009073,0.12295081967213116,0.05855855855855856,0.39655172413793105,0.06175771971496437,0.26666666666666666,0.6744186046511628,0.14705882352941177,0.19238476953907813,0.6,0.06779661016949153,서울 종로구 숭인동 56-102,숭인동,2203197438
30,37.570657,126.979775,442,34,665,59,1000,100,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2202601770
31,37.572764,126.973305,177,14,539,120,7000,200,0.3139745916515427,0.11475409836065574,0.6058558558558558,0.7413793103448275,0.503562945368171,0.6,0.26744186046511625,0.5588235294117647,0.15831663326653306,0.23333333333333334,0.1694915254237288,서울 종로구 내수동 167,내수동,2203151783
32,37.570657,126.979775,442,34,665,56,1000,85,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2202598189
33,37.573918,126.972383,171,13,563,69,1000,90,0.3030852994555354,0.10655737704918034,0.6328828828828829,0.7241379310344828,0.5320665083135392,0.6,0.2441860465116279,0.4117647058823529,0.14829659318637273,0.4,0.2033898305084746,서울 종로구 내수동 72,내수동,2203072640
34,37.574351,126.973509,197,15,557,73,1000,80,0.3502722323049002,0.12295081967213116,0.6261261261261261,0.7586206896551724,0.5463182897862233,0.6,0.22093023255813954,0.4411764705882353,0.1342685370741483,0.4,0.2033898305084746,서울 종로구 적선동 156,적선동,2203081888
35,37.573449,126.973341,178,14,482,74,1000,100,0.3157894736842105,0.11475409836065574,0.5416666666666666,0.7586206896551724,0.5225653206650831,0.6666666666666666,0.2441860465116279,0.5,0.1442885771543086,0.36666666666666664,0.1864406779661017,서울 종로구 내수동 75,내수동,2203070114
36,37.570657,126.979775,442,34,665,93,2000,140,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2202602115
37,37.573918,126.972383,171,13,563,69,1000,90,0.3030852994555354,0.10655737704918034,0.6328828828828829,0.7241379310344828,0.5320665083135392,0.6,0.2441860465116279,0.4117647058823529,0.14829659318637273,0.4,0.2033898305084746,서울 종로구 내수동 72,내수동,2203089522
38,37.570657,126.979775,442,34,665,59,1000,95,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2201814008
39,37.578963,127.00889,243,17,18,54,2000,70,0.4337568058076225,0.13934426229508198,0.019144144144144146,0.689655172413793,0.12589073634204279,0.06666666666666667,0.5290697674418604,0.0,0.2444889779559118,0.26666666666666666,0.0,서울 종로구 창신동 616-2,창신동,2203153093
40,37.609184,126.955909,19,1,30,44,2000,50,0.02722323049001815,0.00819672131147541,0.03265765765765766,0.0,0.02612826603325416,0.06666666666666667,0.005813953488372093,0.0,0.012024048096192383,0.03333333333333333,0.05084745762711865,서울 종로구 구기동 123-4,구기동,2203056014
41,37.572734,126.972015,157,14,447,105,2000,160,0.2776769509981851,0.11475409836065574,0.5022522522522522,0.7413793103448275,0.4821852731591449,0.4666666666666667,0.27906976744186046,0.4411764705882353,0.17635270541082163,0.4,0.1694915254237288,서울 종로구 내수동 73,내수동,2202924711
42,37.580964,126.965974,107,20,100,23,5000,40,0.18693284936479126,0.1639344262295082,0.11148648648648649,0.017241379310344827,0.2137767220902613,0.13333333333333333,0.12209302325581395,0.0,0.07014028056112223,0.3,0.01694915254237288,서울 종로구 누상동 20,누상동,2203052352
43,37.572764,126.973305,177,14,539,120,7000,200,0.3139745916515427,0.11475409836065574,0.6058558558558558,0.7413793103448275,0.503562945368171,0.6,0.26744186046511625,0.5588235294117647,0.15831663326653306,0.23333333333333334,0.1694915254237288,서울 종로구 내수동 167,내수동,2202937096
44,37.580666,126.986213,468,9,211,20,1000,50,0.8421052631578947,0.07377049180327869,0.23648648648648649,0.06896551724137931,0.42992874109263657,0.26666666666666666,0.058139534883720936,0.14705882352941177,0.07014028056112223,0.2,0.05084745762711865,서울 종로구 계동 79-15,계동,2203092897
45,37.59129,126.968198,18,0,27,110,5000,200,0.02540834845735027,0.0,0.02927927927927928,0.08620689655172414,0.06413301662707839,0.0,0.02325581395348837,0.0,0.004008016032064127,0.16666666666666666,0.0,서울 종로구 청운동 1,청운동,2203032711
46,37.601209,126.962359,33,4,13,40,1000,60,0.05263157894736842,0.03278688524590164,0.013513513513513513,0.017241379310344827,0.023752969121140145,0.13333333333333333,0.01162790697674419,0.0,0.028056112224448898,0.13333333333333333,0.01694915254237288,서울 종로구 신영동 100-1,신영동,2202943558
47,37.577833,126.970319,144,28,581,30,1000,60,0.2540834845735027,0.22950819672131148,0.6531531531531531,0.3448275862068966,0.501187648456057,0.26666666666666666,0.18023255813953487,0.2647058823529412,0.08016032064128256,0.5666666666666667,0.1694915254237288,서울 종로구 체부동 126,체부동,2202931984
48,37.574806,127.001352,331,36,177,44,1000,65,0.5934664246823956,0.29508196721311475,0.1981981981981982,0.27586206896551724,0.29691211401425177,0.4666666666666667,0.4476744186046512,0.2647058823529412,0.4609218436873747,0.6333333333333333,0.22033898305084745,서울 종로구 효제동 45,효제동,2203117578
49,37.575719,126.985808,555,21,496,72,1000,90,1.0,0.1721311475409836,0.5574324324324323,0.20689655172413793,0.8551068883610452,0.26666666666666666,0.19186046511627908,0.2647058823529412,0.15430861723446893,0.3,0.22033898305084745,서울 종로구 경운동 89-4,경운동,2203009361
50,37.578824,127.016851,79,15,52,40,1000,45,0.13611615245009073,0.12295081967213116,0.05743243243243243,0.32758620689655177,0.06175771971496437,0.26666666666666666,0.5988372093023255,0.14705882352941177,0.18637274549098196,0.5666666666666667,0.11864406779661017,서울 종로구 숭인동 56-90,숭인동,2203140840
51,37.594379,126.964505,19,1,71,63,12000,60,0.02722323049001815,0.00819672131147541,0.07882882882882883,0.06896551724137931,0.0831353919239905,0.26666666666666666,0.034883720930232565,0.0,0.012024048096192383,0.16666666666666666,0.0,서울 종로구 부암동 216-3,부암동,2203144719
52,37.57388,126.97321,179,14,496,91,1000,120,0.3176043557168784,0.11475409836065574,0.5574324324324323,0.689655172413793,0.5391923990498813,0.6,0.23255813953488375,0.47058823529411764,0.14228456913827653,0.4,0.2033898305084746,서울 종로구 내수동 74,내수동,2203028661
53,37.589499,126.995566,135,9,89,91,300,40,0.23774954627949182,0.07377049180327869,0.0990990990990991,0.08620689655172414,0.10213776722090262,0.4,0.09883720930232559,0.0,0.05410821643286572,0.16666666666666666,0.11864406779661017,서울 종로구 명륜3가 1-846,명륜3가,2201830524
54,37.572871,127.013028,132,60,357,42,2000,65,0.2323049001814882,0.49180327868852464,0.4009009009009009,0.46551724137931033,0.17102137767220904,0.2,0.8372093023255813,0.7058823529411764,0.4509018036072144,0.43333333333333335,0.4406779661016949,서울 종로구 창신동 186,창신동,2202986645
55,37.581863,127.004338,300,10,370,70,3000,100,0.5372050816696914,0.0819672131147541,0.41554054054054057,0.8103448275862069,0.47980997624703087,0.4,0.4476744186046512,0.14705882352941177,0.11823647294589178,0.16666666666666666,0.3559322033898305,서울 종로구 동숭동 50-25,동숭동,2202978968
56,37.572013,127.016695,134,45,226,52,1000,100,0.23593466424682394,0.36885245901639346,0.2533783783783784,0.32758620689655177,0.16864608076009502,0.5333333333333333,0.7616279069767441,0.47058823529411764,0.47695390781563124,0.4,0.3898305084745763,서울 종로구 숭인동 317-29,숭인동,2203011829
